creator_type,creator_name,title_count,movies,tv_shows
Actor,David Koechner,13,11,2
Actor,Ron Perlman,13,11,2
Actor,Abhishek Bachchan,13,13,0
Actor,Joan Cusack,13,11,2
Actor,Graham Chapman,13,8,5
Actor,Rajit Kapoor,13,12,1
Actor,Rishi Kapoor,13,13,0
Actor,Mithun Chakraborty,13,13,0
Actor,Mahesh Manjrekar,13,11,2
Actor,Stanley Tucci,13,13,0
Actor,Gerard Butler,13,11,2
Actor,Will Ferrell,13,12,1
Actor,Nassar,13,13,0
Actor,Cassandra Morris,13,7,6
Actor,John C. Reilly,13,13,0
Actor,Tina Mba,13,13,0
Actor,Eric Peterson,13,7,6
Actor,James Marsden,13,12,1
Actor,Cory Doran,13,7,6
Actor,David Cross,13,9,4
Actor,Dennis Quaid,13,12,1
Actor,Tiffany Haddish,13,9,4
Actor,Nobuhiko Okamoto,12,0,12
Actor,Jeff Dunham,12,12,0
Actor,Susan Sarandon,12,10,2
Actor,America Young,12,10,2
Actor,William H. Macy,12,11,1
Actor,Christina Hendricks,12,9,3
Actor,Paul Dobson,12,5,7
Actor,Katsuyuki Konishi,12,1,11
Actor,Loretta Devine,12,10,2
Actor,Will Smith,12,10,2
Actor,Halle Berry,12,12,0
Actor,Adam Scott,12,10,2
Actor,Junko Takeuchi,12,9,3
Actor,Javed Sheikh,12,11,1
Actor,Houko Kuwashima,12,8,4
Actor,Glenn Close,12,11,1
Actor,Chris Parnell,12,9,3
Actor,Dermot Mulroney,12,11,1
Actor,Juhi Chawla,12,12,0
Actor,Jimmy Shergill,12,12,0
Actor,London Hughes,12,11,1
Actor,Robert Pattinson,12,12,0
Actor,Salma Hayek,12,12,0
Actor,Robert De Niro,12,12,0
Actor,Raghuvir Yadav,12,11,1
Actor,Paul Giamatti,12,12,0
Actor,Ben Mendelsohn,12,11,1
Actor,Jacki Weaver,12,11,1
Actor,Anton Yelchin,12,11,1
Actor,Jack Black,12,11,1
Actor,Judy Greer,12,8,4
Actor,John Dunsworth,12,9,3
Actor,Rie Kugimiya,12,2,10
Actor,Saurabh Shukla,12,12,0
Actor,Britt McKillip,12,8,4
Actor,Nick Swardson,12,10,2
Actor,Rikiya Koyama,12,6,6
Actor,Justin Long,12,9,3
Actor,Sayaka Ohara,12,1,11
Actor,Johnny Yong Bosch,12,2,10
Actor,Naomi Watts,12,11,1
Actor,Minako Kotobuki,12,8,4
Actor,Danny McBride,12,12,0
Actor,John Leguizamo,12,10,2
Actor,Tom Kenny,12,4,8
Actor,George Clooney,12,11,1
Actor,Robert Patrick,12,11,1
Actor,Steven Yeun,12,5,7
Actor,Kathryn Hahn,12,11,1
Actor,John Malkovich,12,11,1
Actor,Ken Jeong,12,11,1
Actor,Cate Blanchett,12,11,1
Actor,Patton Oswalt,12,7,5
Actor,Harrison Ford,12,12,0
Actor,Jason Schwartzman,12,8,4
Actor,Martin Lawrence,12,12,0
Actor,John Michael Higgins,12,11,1
Actor,Steve Buscemi,12,12,0
Actor,Kazuya Nakai,12,5,7
Actor,Bruce Greenwood,12,11,1
Actor,Stephanie Sheh,12,5,7
Actor,Eddie Murphy,12,10,2
Actor,Vidya Balan,12,12,0
Actor,Satoshi Hino,12,3,9
Actor,Andy Samberg,12,8,4
Actor,Stephen Fry,12,10,2
Actor,Anna Claire Bartlam,12,6,6
Actor,Elyse Maloway,12,9,3
Actor,Cedric the Entertainer,11,9,2
Actor,Tony Todd,11,9,2
Actor,Lucy Liu,11,11,0
Actor,Sylvester Stallone,11,9,2
Actor,Sunil Shetty,11,11,0
Actor,Christopher Lee,11,5,6
Actor,Kathy Bates,11,9,2
Actor,Keith Wickham,11,8,3
Actor,Gary Cole,11,8,3
Actor,Anthony Mackie,11,11,0
Actor,Konkona Sen Sharma,11,11,0
Actor,Megumi Han,11,4,7
Actor,Ben Stiller,11,9,2
Actor,Sathyaraj,11,11,0
Actor,Viola Davis,11,10,1
Actor,Kevin James,11,10,1
Actor,Manisha Koirala,11,11,0
Actor,Arjun Rampal,11,11,0
Actor,Michael Madsen,11,10,1
Actor,Abhay Deol,11,11,0
Actor,Nicole Oliver,11,8,3
Actor,Mark Hamill,11,5,6
Actor,Anthony Anderson,11,10,1
Actor,Tusshar Kapoor,11,11,0
Actor,Kenta Miyake,11,4,7
Actor,Steve Zahn,11,9,2
Actor,Tay Ping Hui,11,0,11
Actor,Emile Hirsch,11,10,1
Actor,Mike Smith,11,7,4
Actor,Aoi Yuki,11,3,8
Actor,Sean Bean,11,9,2
Actor,Elizabeth Banks,11,9,2
Actor,Divya Dutta,11,11,0
Actor,James Cromwell,11,8,3
Actor,Alok Nath,11,11,0
Actor,Don Cheadle,11,11,0
Actor,Ryohei Kimura,11,0,11
Actor,Stephen Lang,11,10,1
Actor,Julia Roberts,11,11,0
Actor,Matt Damon,11,11,0
Actor,Harvey Keitel,11,11,0
Actor,Terry Crews,11,9,2
Actor,Satish Shah,11,11,0
Actor,Sabina Malik,11,8,3
Actor,Meryl Streep,11,10,1
Actor,Kaito Ishikawa,11,0,11
Actor,Alec Baldwin,11,10,1
Actor,Jessica Chastain,11,11,0
Actor,Toshiyuki Morikawa,11,4,7
Actor,Michael Shannon,11,11,0
Actor,Julianne Moore,11,11,0
Actor,Danny Glover,11,11,0
Actor,Denzel Washington,11,11,0
Actor,Rob Schneider,11,10,1
Actor,Paul Rudd,11,8,3
Actor,Steve Coogan,11,10,1
Actor,Alison Brie,11,7,4
Actor,Nicole Anthony,11,9,2
Actor,Mario Casas,11,9,2
Actor,Frank Grillo,11,10,1
Actor,Jay Baruchel,11,7,4
Actor,Jane Krakowski,11,9,2
Actor,Koichi Yamadera,11,8,3
Actor,Dalip Tahil,11,11,0
Actor,Patrick Warburton,11,9,2
Actor,Keanu Reeves,11,11,0
Actor,Johny Lever,11,11,0
Actor,Daisuke Namikawa,11,1,10
Actor,Jigna Bharadhwaj,11,9,2
Actor,Kathryn Bernardo,11,10,1
Actor,Tracy Morgan,11,7,4
Actor,Sam Shepard,11,10,1
Actor,Carla Gugino,11,9,2
Actor,Michael Jai White,11,11,0
Actor,Gary Oldman,11,11,0
Actor,Bobby Cannavale,11,9,2
Actor,Will Forte,11,9,2
Actor,Peter Facinelli,11,9,2
Actor,Keegan-Michael Key,11,8,3
Actor,Rani Mukerji,11,11,0
Actor,Amber Heard,11,11,0
Actor,B.N. Sharma,11,11,0
Actor,Tim Blake Nelson,10,9,1
Actor,Amrita Rao,10,10,0
Actor,Hrithik Roshan,10,10,0
Actor,Nat Faxon,10,6,4
Actor,Paul Schrier,10,4,6
Actor,Jeff Bennett,10,7,3
Actor,Sonam Kapoor,10,10,0
Actor,Vera Farmiga,10,7,3
